org_id,org_name,trust_type,violence_patients,violence_reported,harassment_patients,harassment_managers,harassment_colleagues,harassment_reported,fair_career_progression,discrim_patients,discrim_colleagues,org_respects_differences,sexual_behaviour_patients,sexual_behaviour_staff,satisfaction_flexible_working,org_committed_wlb,good_wl_balance,manager_flexible_working,mgr_encourages,mgr_clear_feedback,mgr_asks_opinion,mgr_interest_wellbeing,mgr_values_work,mgr_understanding_problems,mgr_listens,mgr_cares_concerns,mgr_effective_action,had_appraisal,appraisal_improved_job,appraisal_clear_objectives,appraisal_felt_valued,org_challenging_work,career_dev_opportunities,opportunities_knowledge_skills,supported_develop_potential,access_learning_dev,adequate_materials_equipment,enough_staff,relationships_strained,respect_from_colleagues,feel_valued_by_team,people_kind_to_each_other,people_polite_respectful,people_show_appreciation,org_positive_wellbeing,nutritious_food,recommend_org_to_work,safe_to_speak_up,look_forward_to_work,enthusiastic_about_job,secure_raising_concerns,confident_org_address_concern
R0A,Manchester University NHS Foundation Trust,Acute&Acute Community Trusts,0.12778170364229272,0.6890287916004321,0.2508377962466013,0.11702144789341104,0.18784417564246317,0.48098663995899493,0.5323787048841516,0.08109975100936648,0.10103697355655175,0.656568077344611,0.07226531435927755,0.0349961184923953,0.5105294351875483,0.414939797091459,0.4954626485865284,0.6500646057771967,0.6929493518033335,0.609940795160965,0.5638967728276081,0.6659617563069598,0.6914705782563204,0.6537601435657628,0.6809222116380896,0.6718410001375212,0.6337162219275189,0.8468564133989636,0.22125063332731126,0.29863729314823134,0.28587784620263473,0.6863846164926388,0.5328266942878859,0.6673046268053232,0.5172140058077602,0.5451752562198721,0.5202034101197643,0.296363721432014,0.4498980154815723,0.7025150668596505,0.6796394299010106,0.6934367538235998,0.7046072000723327,0.6593252667527416,0.5078969502644106,0.4918113382759912,0.5522857922105655,0.6001288018898137,0.4959995100202974,0.6424283126577524,0.7133103388918264,0.5578798169149086
R0B,South Tyneside and Sunderland NHS Foundation Trust,Acute&Acute Community Trusts,0.14585567161779228,0.7214353700217723,0.25558629275723926,0.08911061177168694,0.1715250185476477,0.5316083633086373,0.6062017043292335,0.06939951076046642,0.07760124818562852,0.71716398239479,0.0938611435345009,0.0246242332065918,0.5369879210853504,0.47733874276820853,0.5603090136945992,0.6878863807260858,0.6850760831344805,0.6178286077831278,0.5541656934931818,0.6674793633241206,0.6907970330164722,0.6588735195734361,0.6853072391895136,0.6740626863380139,0.6404692822973231,0.8520852968442012,0.22472944728622857,0.3281597218037576,0.3064870809460787,0.6830094646229664,0.5256445317820753,0.6768689355207009,0.5470375380717878,0.5850015553603316,0.6031960878879868,0.315905560312576,0.4706685202646845,0.6785929821920677,0.66004325379899,0.6770654053214553,0.6907948235145824,0.6497211801428375,0.558605002183362,0.5934338708463116,0.5848332748894187,0.6220640766245636,0.5136279221069702,0.6726926387484925,0.7290198037077945,0.5863131548462098
R0D,University Hospitals Dorset NHS Foundation Trust,Acute&Acute Community Trusts,0.14591204171112732,0.6903351151446719,0.26494461584302387,0.09021400447962102,0.1851063539225647,0.4732851653444954,0.581719555662121,0.08004467902852563,0.0777393562687219,0.7290518307831318,0.10097046328167966,0.03780969280300095,0.5465427096385317,0.4557913177017163,0.5477060114945277,0.6842706011401062,0.7207266262890976,0.6350995270061056,0.5853674365730087,0.6948963536610846,0.7246444240624204,0.6843068889326464,0.716300256572902,0.7043298737630519,0.6620582206465919,0.8324447990416215,0.22168324110368315,0.33438196592440805,0.3324569312171465,0.7148332327646049,0.5500265849616358,0.6966806735839085,0.5531481992453867,0.5719228259052789,0.557198209596974,0.2627228555741039,0.4561701406857203,0.7303081646753957,0.7159936387384436,0.7326852507118821,0.7392227397526268,0.6998212879076395,0.5518393290986966,0.5174720311221588,0.6112626020432838,0.6477232997665651,0.5286702643929054,0.6672249070064867,0.7438397688442773,0.5793056951317923
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,"MH&LD, MH, LD&Community Trusts",0.11438557212191088,0.8002533485890925,0.2597626388692259,0.08390097977615416,0.15011844992013051,0.5818673721229073,0.5833244959421655,0.0443772774599355,0.05743934504754718,0.7048418932723279,0.08711796295867455,0.0223292445568608,0.6721573468222646,0.5460591503386041,0.5905897131194031,0.7716905196119985,0.7641768179285605,0.7010575212467867,0.6393888069773824,0.7590984623059445,0.7697313964088008,0.7345690390318602,0.7593802617004204,0.7502618422964044,0.7135404285019218,0.8844558063874364,0.1951578188139889,0.2969088753311673,0.3286852694014256,0.7324437776246085,0.5061954655294522,0.7175520000575031,0.5848588064792222,0.606228264199131,0.6019002883295781,0.2948719453091541,0.53366565761321,0.7678684380796226,0.7545148437504274,0.7760228660210555,0.7903990637441697,0.7483662663351788,0.6345040532439523,0.5942849936438895,0.6243285834173915,0.6637387635982934,0.5705245182938185,0.7078166474986141,0.7611336905407055,0.6078310268516479
R1C,Solent NHS Trust,"MH&LD, MH, LD&Community Trusts",0.07921075519762726,0.8292041337438778,0.18871481039022664,0.05851380623593905,0.10275116212378049,0.6111782714911744,0.6716571403089461,0.048959467693887454,0.04712526489218555,0.8188317733929954,0.06867693614755879,0.015547630115935351,0.6733474964042547,0.6409905234997189,0.6490329266467655,0.7957298859524656,0.8155381054659939,0.7457357656791422,0.6923197409924213,0.8185205692498059,0.812047738394537,0.7969238742689162,0.8162433375193531,0.8120378075695212,0.7748756144558122,0.865440462254215,0.22801675334748628,0.3888418441838225,0.38185517363569393,0.7583418054684548,0.5769216590443029,0.7704997782844247,0.6510427441421187,0.6674488151829447,0.6509528375005716,0.35348561509902143,0.5960717187534037,0.8028640996628194,0.7858774087414456,0.8302980098793618,0.8296759122287983,0.8030836859612837,0.7252432736262062,0.5993555956804333,0.7190595147375233,0.7719342749606779,0.6053061247255493,0.7395400286928935,0.8386654342426142,0.7595791220670769
R1D,Shropshire Community Health NHS Trust,Community Trusts,0.08055790949309143,0.7522884817979689,0.20894375686758318,0.06582652121748853,0.11276233515071682,0.5605326846689734,0.5726965534809214,0.024012189109032325,0.048115135022376375,0.7140290403077956,0.08038494141646965,0.016671253686662002,0.6183027157682801,0.5260106968566626,0.5897548065232727,0.7675973261468361,0.7634889435855966,0.6801749479362067,0.6347195031910522,0.7641034753326112,0.7751168547644465,0.7302545918448979,0.7642516333969278,0.7540060694494636,0.710252601844594,0.8914298667639701,0.18851262989551576,0.3127345295223336,0.32295596987462266,0.7296627648809195,0.4495079922933384,0.6878078713443317,0.5562710644209231,0.5664504427855012,0.6158476138286623,0.24376736130351812,0.5365996370430739,0.7868376328217705,0.7668727116329858,0.8099114470312321,0.8266258792063377,0.787100780180231,0.591774139421322,0.6326182263886885,0.602871786555322,0.6752161804687901,0.5923912835055086,0.7307869868831969,0.7660315951594983,0.6164332043992081
R1F1,Isle of Wight NHS Trust (acute sector),Acute&Acute Community Trusts,0.15477142849028014,0.6387424741915506,0.2552613156127611,0.13500532773551138,0.22645287698356104,0.4727782785260196,0.563642638363334,0.07547917678291698,0.09308224326003435,0.6827922985515714,0.05975219520677475,0.0428193732853325,0.5331452458670244,0.45212829446284986,0.5379860892149491,0.6766800926890186,0.7016283537328625,0.6374865992324447,0.5827400048021067,0.6872458659475598,0.7203834690799386,0.6747243704137034,0.7013142584122992,0.6899228085899812,0.6439843584078535,0.8257195755151876,0.2312110744710888,0.3346543602157097,0.315479513739782,0.7121508164606273,0.5203562020518597,0.679160709525048,0.545644387796045,0.5938956180048701,0.5614882446858322,0.28040470630678194,0.43386244638366844,0.7091196343825958,0.7021611458426444,0.6974923204629955,0.7159231834368841,0.678637395541352,0.5423304133197633,0.5430908242185639,0.5270692785279161,0.5649118570885762,0.5580597319650988,0.7029618173493313,0.7029092816374874,0.5254925438078426
R1F2,Isle of Wight NHS Trust (ambulance sector),Ambulance Trusts,0.26915955845518,0.6930209685810405,0.4247063503808379,0.11571853815697497,0.20588906856155675,0.520468444202534,0.5516608630069659,0.10192418526788063,0.09718825860311077,0.6412144865230542,0.20201130880763216,0.13781173678998593,0.4569317542573855,0.4189013724187765,0.5145271476025219,0.6769403169275289,0.6574959233474569,0.5521464203536325,0.47423925297528224,0.6596222832957555,0.6466726476899335,0.6656430609547873,0.6913943078206897,0.6660069053613957,0.6486414102361965,0.7786716451038076,0.15793630010025378,0.2686585820564834,0.25923103767410455,0.732580561247259,0.5514904141749185,0.7276515436509142,0.5203357457181307,0.5723079562258286,0.5346812247760735,0.23738363106713506,0.4444585275397134,0.6696287038299509,0.6394341027575258,0.6232290861339638,0.6576938358790047,0.6141751873547802,0.5468959747844113,0.44083605040483764,0.5674661340023058,0.620209648514481,0.529447596869565,0.6858507613747566,0.7626499656133217,0.6146358115380743
R1H,Barts Health NHS Trust,Acute&Acute Community Trusts,0.1424180518272824,0.6843032804198811,0.29152020396581224,0.14750055858010233,0.22953643171131044,0.4939207460401092,0.4763564708776592,0.13669950729905744,0.1493486317894441,0.6594106647400652,0.07786993832713565,0.057940589034236045,0.4946840834058681,0.4256870690920119,0.48506482612586754,0.6425940568175146,0.6911544049078372,0.6212472117755046,0.5735927634253855,0.6558339358153459,0.6930695029760641,0.6567648886287494,0.6848674369994912,0.6655594513479076,0.6313705161541071,0.7519410204992043,0.29283586438779496,0.3860063723761925,0.317420247973401,0.6529049676201427,0.5403728507175922,0.6614394112416656,0.5238683719798778,0.5421529107277944,0.46997040718421107,0.2909631135205457,0.427450641431229,0.6828079028817391,0.6553101308048676,0.6444592166675509,0.6568722658680558,0.610309556307937,0.5400466534794459,0.4345848508877977,0.5997218864426703,0.5677040195148548,0.5154375175572538,0.6366449846956534,0.6780223862393127,0.5395230182937824
R1K,London North West University Healthcare NHS Trust,Acute&Acute Community Trusts,0.15387335968157562,0.7154271617854587,0.2902095216399728,0.12745113732354427,0.20985799359138585,0.5034721457119534,0.4915943028389772,0.1424693508718936,0.1346462431913433,0.6710813389438088,0.06413676786501185,0.03864289662277615,0.5227885293746679,0.4676517913426257,0.5218313278515886,0.6531871396418514,0.6937663086071846,0.6415224717982495,0.581008988676661,0.6547159111196185,0.6887745236137665,0.6633843650363275,0.681219078327451,0.6615104492808919,0.6433515742653964,0.8029269024141437,0.36559600655304864,0.4238247006989653,0.3649064555128105,0.6333733986201275,0.5552023501745409,0.6766922671674844,0.5551628556522454,0.583647747524892,0.5774424194949545,0.3420141336258834,0.42015941367370474,0.6999832815493316,0.678386466978377,0.6683040352340677,0.680789848600479,0.6356752409177414,0.5921929441136222,0.5137379889830815,0.5736803001829842,0.5520064061011992,0.6010833642842556,0.6877893337216044,0.6737819722708593,0.5555015104875941
