Standard (Theorised),Variable,Question,Factor 1,Factor 1 (raw),Factor 2,Factor 2 (raw),Factor 3,Factor 3 (raw),Factor 4,Factor 4 (raw),Factor 5,Factor 5 (raw),Factor 6,Factor 6 (raw),Primary Factor,Primary Loading,Communality,Heywood Case,Loads as Expected
Reducing Violence,violence_patients,Q13a: Physical violence from patients/public,,-0.07809683965513928,,0.13018891024673926,0.808387304339948,0.808387304339948,,0.16092374749685404,,-0.08170217189121999,,-0.04336972518451536,Factor 3,0.808387304339948,0.7109909329961158,,Yes
Reducing Violence,violence_managers,Q13b: Physical violence from managers,,-0.11756754425623887,,-0.0943319960535472,,-0.04725285878828446,0.8749670372554988,0.8749670372554988,,-0.06008458194829095,,0.02538288925322389,Factor 4,0.8749670372554988,0.7947752499439624,,Yes
Reducing Violence,violence_colleagues,Q13c: Physical violence from colleagues,,-0.1491095851771839,,-0.024252295556539263,,0.041367263008408116,0.8689888952118568,0.8689888952118568,,-0.03234206882998666,,0.018008030561685,Factor 4,0.8689888952118568,0.781045091262718,,Yes
Reducing Violence,harassment_patients,Q14a: Harassment from patients/public,,0.03196342579803226,,0.05384065757097108,0.966423718418665,0.966423718418665,,0.06837724532662176,,0.03426874892005678,,0.011808161163896996,Factor 3,0.966423718418665,0.9438845080196555,,Yes
Reducing Violence,harassment_managers,Q14b: Harassment from managers,,0.030047892338231984,-0.4065653056719051,-0.4065653056719051,,0.012610316807780577,,0.0025570792871657867,0.664213724747244,0.664213724747244,,0.10270687308098814,Factor 5,0.664213724747244,0.618092356275215,,Yes
Reducing Violence,harassment_colleagues,Q14c: Harassment from colleagues,-0.48520445196427875,-0.48520445196427875,,0.18544547783420334,,0.040272780894311785,,0.018088529654370848,0.6411690629070227,0.6411690629070227,,0.02555276839955323,Factor 5,0.6411690629070227,0.6835131884430812,,Yes
Tackling Racism,fair_career_progression,Q15: Org acts fairly re career progression,,-0.27710414795887706,0.9343415871216343,0.9343415871216343,,0.057024733055663406,-0.3497509642797087,-0.3497509642797087,,-0.12448816548365678,,0.01078996158670612,Factor 2,0.9343415871216343,1.0909721940521746,YES,Yes
Tackling Racism,discrim_patients,Q16a: Discrimination from patients/public,,0.04363509920355515,,-0.006263829918122184,0.577439517398197,0.577439517398197,0.5485087953923654,0.5485087953923654,,-0.01105474363217045,,0.05575418123657636,Factor 3,0.577439517398197,0.6394722884057278,,Yes
Tackling Racism,discrim_colleagues,Q16b: Discrimination from manager/colleagues,,-0.042367556075930186,,-0.26808323835742215,,0.028279780758569708,0.45562514777021174,0.45562514777021174,0.4074804971302825,0.4074804971302825,,0.026829526132928893,Factor 4,0.45562514777021174,0.44881783279048926,,Yes
Tackling Racism,org_respects_differences,Q21: Org respects individual differences,,0.07341635520507778,0.7795467683510925,0.7795467683510925,,-0.05439891788542527,,-0.06603359418444517,,-0.116926090985177,,0.06183102218402007,Factor 2,0.7795467683510925,0.637897589143646,,Yes
