Standard (Theorised),Variable,Question,Factor 1,Factor 1 (raw),Factor 2,Factor 2 (raw),Factor 3,Factor 3 (raw),Factor 4,Factor 4 (raw),Factor 5,Factor 5 (raw),Factor 6,Factor 6 (raw),Factor 7,Factor 7 (raw),Factor 8,Factor 8 (raw),Primary Factor,Primary Loading,Communality,Heywood Case,Loads as Expected
Reducing Violence,violence_patients,Q13a: Physical violence from patients/public,,-0.08921033682375612,,0.12371227231010767,0.809079784767496,0.809079784767496,,-0.06096843197255383,,0.12391122700760862,,0.0027031777730174263,,-0.07550822702302494,,-0.011977944285367144,Factor 3,0.809079784767496,0.7027967211790155,,Yes
Reducing Violence,violence_managers,Q13b: Physical violence from managers,,-0.03222731123131209,,-0.09385061427120979,,-0.0077227003944622995,,-0.02895811660927446,0.9622448736068476,0.9622448736068476,,-0.04819291167306782,,0.015438717278476453,,0.020476841182638032,Factor 5,0.9622448736068476,0.9396401585414322,,Yes
Reducing Violence,violence_colleagues,Q13c: Physical violence from colleagues,,-0.1288646882321211,,-0.005750989079181661,,0.11077165910972346,,0.04281368492779097,0.7843077824218095,0.7843077824218095,,0.05202237161681334,,0.03545986121770326,,-0.0007467492087215663,Factor 5,0.7843077824218095,0.6498455379355814,,Yes
Reducing Violence,harassment_patients,Q14a: Harassment from patients/public,,0.008645677870952337,,0.038738255235400865,0.9500250896093418,0.9500250896093418,,-0.00040130545075544054,,-0.0034504174453625653,,0.09301505984609504,,-0.0014105848324013463,,-0.02484515069175489,Factor 3,0.9500250896093418,0.9134062100990193,,Yes
Reducing Violence,harassment_managers,Q14b: Harassment from managers,,0.08229830827823863,-0.3808316705279329,-0.3808316705279329,,-0.025472369646396653,,0.013712352055649005,,0.05805355247765598,,0.12937981797044462,0.6734265113982152,0.6734265113982152,,0.06541063296976415,Factor 7,0.6734265113982152,0.6305338124496738,,Yes
Reducing Violence,harassment_colleagues,Q14c: Harassment from colleagues,-0.47999386774879016,-0.47999386774879016,,0.16232941430608933,,0.014565442816913195,,0.03124746237338929,,0.017218540666467514,,0.1504223229529045,0.5700188900552166,0.5700188900552166,,0.07315315109383615,Factor 7,0.5700188900552166,0.6111297797745996,,Yes
Tackling Racism,fair_career_progression,Q15: Org acts fairly re career progression,,-0.24856622979353885,0.860693726465292,0.860693726465292,,0.09062661985276915,,-0.0016266131187484582,,-0.03601034730923791,-0.47297599825169273,-0.47297599825169273,,-0.07535617158633141,,0.06551530894618966,Factor 2,0.860693726465292,1.0457685398046421,YES,Yes
Tackling Racism,discrim_patients,Q16a: Discrimination from patients/public,,-0.02426008901687683,,-0.019527244732837276,0.585254838748593,0.585254838748593,,0.19065334508980356,,0.15900288072725105,0.4471803117448718,0.4471803117448718,,-0.09483760427686241,,-0.03916737503646086,Factor 3,0.585254838748593,0.6156221912225628,,Yes
Tackling Racism,discrim_colleagues,Q16b: Discrimination from manager/colleagues,,-0.11810251308293374,,-0.23938697789881047,,0.01975302741553807,,0.19210729432841175,,0.011489556288154516,0.6707894776592843,0.6707894776592843,,0.2596388045201471,,-0.08942697066612862,Factor 6,0.6707894776592843,0.6340497485475781,,Yes
Tackling Racism,org_respects_differences,Q21: Org respects individual differences,,0.06693829113286506,0.7097896865184294,0.7097896865184294,,0.010276593736267915,,0.1558680471942627,,0.04437016435879763,,-0.19844288240777777,,-0.1355199549557682,,-0.02533524239710905,Factor 2,0.7097896865184294,0.5930384121847593,,Yes
Sexual Safety,sexual_behaviour_patients,Q17a: Unwanted sexual behaviour from patients,,0.19677340384844275,,0.0364298687130322,1.1383543075760407,1.1383543075760407,,-0.1411829061432201,,-0.06838022967242711,,-0.09719275454936113,,-0.006844014482347419,,-0.031134319108354513,Factor 3,1.1383543075760407,1.3709685240680451,YES,Yes
Sexual Safety,sexual_behaviour_staff,Q17b: Unwanted sexual behaviour from staff,,-0.10265117583300354,,-0.015207326632930073,0.6562336111911233,0.6562336111911233,,-0.11102719814461874,,-0.009600433476823756,,-0.054588865738625154,0.3248601729576928,0.3248601729576928,,0.008881406801184303,Factor 3,0.6562336111911233,0.5624232418144485,,Yes
Flexible Working,satisfaction_flexible_working,Q4d: Satisfaction with flexible working,0.9052322717686346,0.9052322717686346,,-0.07498235140416015,,-0.1132677319248274,,-0.011738573024437668,,0.011476928583745537,,-0.020594266847070535,,0.08596027926676396,,-0.18254111147796798,Factor 1,0.9052322717686346,0.8793014627734616,,Yes
