Variable,violence_patients,violence_managers,violence_colleagues,harassment_patients,harassment_managers,harassment_colleagues,violence_reported,fair_career_progression,discrim_patients,discrim_colleagues,org_respects_differences,sexual_behaviour_patients,sexual_behaviour_staff,satisfaction_flexible_working,org_committed_wlb,manager_flexible_working,good_wl_balance,mgr_interest_wellbeing,mgr_understanding_problems,mgr_effective_action,team_shared_objectives,feel_valued_by_team,had_appraisal,appraisal_clear_objectives,appraisal_felt_valued,supported_develop_potential,access_learning_dev,nutritious_food,org_positive_wellbeing
violence_patients,1.0,0.5317706842220159,0.6451530434812576,0.9248487643309579,0.16260572884897553,0.5506825933786598,0.15636486039969655,-0.0468426238665521,0.8077617923726038,0.4388204216513573,-0.23449794126814613,0.8558271506021392,0.6974448137724134,-0.6984004719366543,-0.59530117141352,-0.6007095341649078,-0.5753303142824614,-0.5558683102308202,-0.5458000609212736,-0.5089137126496184,0.01578036404001069,-0.4483969172980807,0.11463602057722527,-0.2625503081057771,-0.24391548379248595,-0.021812587183473897,0.19224575068444472,-0.7390827042964248,-0.3352091014268556
violence_managers,0.5317706842220159,1.0,0.9303331189949813,0.5298893928623317,0.4298738988499739,0.6076984728905727,-0.14777430435231012,-0.2842362111038736,0.7177058332833464,0.6496994527613138,-0.2629332960345294,0.33324280859948524,0.4897559976443269,-0.5810917404778868,-0.4575746092397041,-0.5978713245717261,-0.4804765446158555,-0.5801988409131023,-0.531445775759803,-0.5249512951516996,-0.06628703218017679,-0.41383503987106207,-0.09408058254695524,0.10242388312697363,-0.030926140301854654,-0.11861817328477357,0.06145235945544826,-0.5865877597112593,-0.30124411775470644
violence_colleagues,0.6451530434812576,0.9303331189949813,1.0,0.6355827577953759,0.4078437212455418,0.7082894134618285,-0.1457478009894514,-0.2680318027685953,0.8131460669220658,0.7007419754839487,-0.2876745128098071,0.4284280206922833,0.577284396822677,-0.6601642739217322,-0.5163927842546834,-0.6632751094611133,-0.5391103083126827,-0.6392047550799264,-0.5951191018743658,-0.5808654506951364,-0.03804537699961967,-0.4735376274373747,-0.07902754568292475,0.07819972721799309,-0.04653939831727622,-0.08961641353659854,0.12506874326201786,-0.6783685561544494,-0.3310330206073857
harassment_patients,0.9248487643309579,0.5298893928623317,0.6355827577953759,1.0,0.28603063812286444,0.5792928333149021,0.15691831321590402,-0.1567062228756873,0.8691227272921032,0.521979171334667,-0.3003242938858628,0.9175338192902768,0.7941566902883965,-0.7213763886721751,-0.6522080556616864,-0.6289142495384908,-0.646958820947167,-0.579401756443754,-0.5722818697461387,-0.5350929553242793,-0.06481016337201922,-0.48680074701179954,0.04522626298935689,-0.28844619581504577,-0.3077413646109777,-0.09821736242887893,0.13370489941241137,-0.7610320293518188,-0.3890862302683694
harassment_managers,0.16260572884897553,0.4298738988499739,0.4078437212455418,0.28603063812286444,1.0,0.6840166965536187,-0.17040779076819917,-0.7303381051538579,0.32780487042448736,0.733957809175291,-0.7128310704400639,0.1551083871786893,0.5326898532907407,-0.36121500615468183,-0.5198820487941409,-0.48215388003538223,-0.5354468705705888,-0.5148282353675403,-0.5338920689185159,-0.5925958398117738,-0.5648426763565408,-0.6312829734985856,-0.4419115423123471,-0.200246652483888,-0.4193948239650011,-0.6417159291557515,-0.559662279657639,-0.3113203626373414,-0.6505213627045047
harassment_colleagues,0.5506825933786598,0.6076984728905727,0.7082894134618285,0.5792928333149021,0.6840166965536187,1.0,-0.40041083087983037,-0.4170307288508822,0.6279585543748079,0.7797180527964744,-0.568699556358616,0.38963593893462756,0.6949673590230163,-0.6954639934360097,-0.6801034814933776,-0.7615171519585873,-0.670763078342991,-0.7827210612083338,-0.7791120064111797,-0.8029524661638132,-0.2708680171113653,-0.7190488042507545,-0.14608257107063846,-0.19370714944947773,-0.31653339164901984,-0.35617214425877947,-0.11513583126767085,-0.6796514249141878,-0.5932911747968236
violence_reported,0.15636486039969655,-0.14777430435231012,-0.1457478009894514,0.15691831321590402,-0.17040779076819917,-0.40041083087983037,1.0,0.06293120636456533,0.05437385140925081,-0.16487163803743934,0.2034508737563264,0.25737009476470263,-0.129551528102445,0.4738839396361141,0.37498746291330876,0.5502014060806495,0.32950586253672587,0.5781582651768807,0.5632635978527831,0.5397859739129318,0.2334375747643908,0.40176664671826784,0.10623651560461468,0.10522791177410554,0.16495614797567001,0.28281797534120406,0.13400811497115236,0.2707242434600433,0.2672931048628387
fair_career_progression,-0.0468426238665521,-0.2842362111038736,-0.2680318027685953,-0.1567062228756873,-0.7303381051538579,-0.4170307288508822,0.06293120636456533,1.0,-0.24978589091339576,-0.6697725453976622,0.8482836568064237,-0.05046341856694026,-0.3499657130198072,0.2491972961293122,0.5110413700648453,0.3623625149897248,0.5333387664536993,0.40360204253427423,0.4175050733011829,0.486595015748996,0.7396917249375901,0.5961427194939889,0.5164829351170115,0.2790014168130371,0.5535464940944714,0.7918263020313208,0.7522142042062281,0.2400497016838947,0.7232236278685005
discrim_patients,0.8077617923726038,0.7177058332833464,0.8131460669220658,0.8691227272921032,0.32780487042448736,0.6279585543748079,0.05437385140925081,-0.24978589091339576,1.0,0.7040395365054559,-0.27613601639165325,0.700458153498653,0.6662206639357272,-0.7039168789720298,-0.5782988375932164,-0.6462728135447549,-0.6114355610335823,-0.5809858589657866,-0.5461373895206876,-0.5151935452866581,-0.006274784989277167,-0.4535181763018835,0.0036443777976404574,-0.009840631980712762,-0.12588510165024883,-0.040790091479227235,0.17413945673639,-0.7460161340432444,-0.33652090085786945
discrim_colleagues,0.4388204216513573,0.6496994527613138,0.7007419754839487,0.521979171334667,0.733957809175291,0.7797180527964744,-0.16487163803743934,-0.6697725453976622,0.7040395365054559,1.0,-0.6267972984448301,0.318009827782331,0.5902174473724304,-0.5933104617656394,-0.624283666511477,-0.6616369751867544,-0.6668603399790349,-0.6646260054587733,-0.6499554314029794,-0.6823532828987597,-0.40215755271819537,-0.6857881307403584,-0.2759605571631747,-0.06765359773702097,-0.3240844875482321,-0.43504845222212096,-0.2626036368416383,-0.6009017872743544,-0.5892102717682409
org_respects_differences,-0.23449794126814613,-0.2629332960345294,-0.2876745128098071,-0.3003242938858628,-0.7128310704400639,-0.568699556358616,0.2034508737563264,0.8482836568064237,-0.27613601639165325,-0.6267972984448301,1.0,-0.21979034920403437,-0.4984861854336976,0.45074530846471433,0.7245890465809226,0.5349355638013882,0.6997715830720315,0.5807789025820046,0.6251672946531808,0.6736823771908281,0.766482491260913,0.7532102673183853,0.4556194952434601,0.5262085906535618,0.7167753550821505,0.85950290497528,0.7386417409998849,0.4151779985515603,0.8929980052371069
sexual_behaviour_patients,0.8558271506021392,0.33324280859948524,0.4284280206922833,0.9175338192902768,0.1551083871786893,0.38963593893462756,0.25737009476470263,-0.05046341856694026,0.700458153498653,0.318009827782331,-0.21979034920403437,1.0,0.7716787518797205,-0.5933458249020976,-0.5642921029716648,-0.47135676765036666,-0.5464420618415189,-0.41493796563042445,-0.42299343039091714,-0.38181462677029476,-0.057390621418986446,-0.389824306498365,0.1008422631395974,-0.3908855171371145,-0.3497307355900636,-0.06377532284519581,0.1192817985975779,-0.6304821503397859,-0.3132291319064062
sexual_behaviour_staff,0.6974448137724134,0.4897559976443269,0.577284396822677,0.7941566902883965,0.5326898532907407,0.6949673590230163,-0.129551528102445,-0.3499657130198072,0.6662206639357272,0.5902174473724304,-0.4984861854336976,0.7716787518797205,1.0,-0.7036392138834956,-0.7348244299457276,-0.6820577818079706,-0.7228715663763727,-0.6578899775404976,-0.6687484234757777,-0.656379932638823,-0.29475905962556875,-0.6742709039002464,-0.11396142483255,-0.40125655868258603,-0.4743522004193075,-0.34208564760591414,-0.12190781338781415,-0.7009564632850683,-0.5541753351957763
satisfaction_flexible_working,-0.6984004719366543,-0.5810917404778868,-0.6601642739217322,-0.7213763886721751,-0.36121500615468183,-0.6954639934360097,0.4738839396361141,0.2491972961293122,-0.7039168789720298,-0.5933104617656394,0.45074530846471433,-0.5933458249020976,-0.7036392138834956,1.0,0.8958683148800823,0.9503498647159625,0.8615639485136449,0.8717552243935037,0.8509645245669997,0.824043899685288,0.16023356546512327,0.6893620348217142,0.015287794011915806,0.333147811857311,0.41621071831688455,0.31737540255778934,0.013084648525982321,0.8407308272912764,0.5897185811622103
org_committed_wlb,-0.59530117141352,-0.4575746092397041,-0.5163927842546834,-0.6522080556616864,-0.5198820487941409,-0.6801034814933776,0.37498746291330876,0.5110413700648453,-0.5782988375932164,-0.624283666511477,0.7245890465809226,-0.5642921029716648,-0.7348244299457276,0.8958683148800823,1.0,0.8987197556770997,0.9707017826681467,0.8722302631419088,0.8813132092437249,0.8780881033504143,0.501459107710871,0.8296317427690021,0.21851130034751856,0.540797207901144,0.6690652368291443,0.6273054472879688,0.3612358495774613,0.758495797096747,0.8365965619762249
manager_flexible_working,-0.6007095341649078,-0.5978713245717261,-0.6632751094611133,-0.6289142495384908,-0.48215388003538223,-0.7615171519585873,0.5502014060806495,0.3623625149897248,-0.6462728135447549,-0.6616369751867544,0.5349355638013882,-0.47135676765036666,-0.6820577818079706,0.9503498647159625,0.8987197556770997,1.0,0.8681381588483551,0.9605649637298163,0.9433424672963504,0.9298409710723448,0.29245911556921333,0.7848709107765868,0.11376730780855536,0.34059960241514015,0.4556151474204474,0.44141460681917094,0.13680330945445965,0.7877788071604254,0.6488062765135445
good_wl_balance,-0.5753303142824614,-0.4804765446158555,-0.5391103083126827,-0.646958820947167,-0.5354468705705888,-0.670763078342991,0.32950586253672587,0.5333387664536993,-0.6114355610335823,-0.6668603399790349,0.6997715830720315,-0.5464420618415189,-0.7228715663763727,0.8615639485136449,0.9707017826681467,0.8681381588483551,1.0,0.8365553064498995,0.8464572016692863,0.8437250188831665,0.5068608894460268,0.8222202236487821,0.23386271480956375,0.4832332209933127,0.6353240849664059,0.5913466025341944,0.34347129557920986,0.7631239985957726,0.8003174473123449
mgr_interest_wellbeing,-0.5558683102308202,-0.5801988409131023,-0.6392047550799264,-0.579401756443754,-0.5148282353675403,-0.7827210612083338,0.5781582651768807,0.40360204253427423,-0.5809858589657866,-0.6646260054587733,0.5807789025820046,-0.41493796563042445,-0.6578899775404976,0.8717552243935037,0.8722302631419088,0.9605649637298163,0.8365553064498995,1.0,0.9820267313972292,0.9721421695214199,0.38559329371338846,0.8339056794858681,0.16217171477671946,0.38298901509363487,0.4935070248352918,0.5138739991329794,0.21212974241665447,0.7485230151462511,0.6774175732806743
mgr_understanding_problems,-0.5458000609212736,-0.531445775759803,-0.5951191018743658,-0.5722818697461387,-0.5338920689185159,-0.7791120064111797,0.5632635978527831,0.4175050733011829,-0.5461373895206876,-0.6499554314029794,0.6251672946531808,-0.42299343039091714,-0.6687484234757777,0.8509645245669997,0.8813132092437249,0.9433424672963504,0.8464572016692863,0.9820267313972292,1.0,0.9857876385680202,0.44329715235699274,0.8637143705301896,0.15989554393671057,0.45840645004695896,0.5520111176520948,0.55853295521211,0.2544041145066719,0.724622630515574,0.7062933894789788
mgr_effective_action,-0.5089137126496184,-0.5249512951516996,-0.5808654506951364,-0.5350929553242793,-0.5925958398117738,-0.8029524661638132,0.5397859739129318,0.486595015748996,-0.5151935452866581,-0.6823532828987597,0.6736823771908281,-0.38181462677029476,-0.656379932638823,0.824043899685288,0.8780881033504143,0.9298409710723448,0.8437250188831665,0.9721421695214199,0.9857876385680202,1.0,0.4832069230048256,0.869224464594316,0.1937130738887862,0.45587158122243115,0.5729952611161472,0.5999291995435172,0.3179860741887803,0.698084563007809,0.7473921960866357
team_shared_objectives,0.01578036404001069,-0.06628703218017679,-0.03804537699961967,-0.06481016337201922,-0.5648426763565408,-0.2708680171113653,0.2334375747643908,0.7396917249375901,-0.006274784989277167,-0.40215755271819537,0.766482491260913,-0.057390621418986446,-0.29475905962556875,0.16023356546512327,0.501459107710871,0.29245911556921333,0.5068608894460268,0.38559329371338846,0.44329715235699274,0.4832069230048256,1.0,0.6948828062826304,0.48387941745740026,0.5153755270106641,0.698485503272138,0.8415715075275201,0.7909875177656355,0.11681826568131216,0.7215468562899164
feel_valued_by_team,-0.4483969172980807,-0.41383503987106207,-0.4735376274373747,-0.48680074701179954,-0.6312829734985856,-0.7190488042507545,0.40176664671826784,0.5961427194939889,-0.4535181763018835,-0.6857881307403584,0.7532102673183853,-0.389824306498365,-0.6742709039002464,0.6893620348217142,0.8296317427690021,0.7848709107765868,0.8222202236487821,0.8339056794858681,0.8637143705301896,0.869224464594316,0.6948828062826304,1.0,0.20904237649898752,0.5217406996843503,0.7150494472247757,0.6936024559958855,0.4564233295879626,0.6246851582042064,0.7669922573746154
had_appraisal,0.11463602057722527,-0.09408058254695524,-0.07902754568292475,0.04522626298935689,-0.4419115423123471,-0.14608257107063846,0.10623651560461468,0.5164829351170115,0.0036443777976404574,-0.2759605571631747,0.4556194952434601,0.1008422631395974,-0.11396142483255,0.015287794011915806,0.21851130034751856,0.11376730780855536,0.23386271480956375,0.16217171477671946,0.15989554393671057,0.1937130738887862,0.48387941745740026,0.20904237649898752,1.0,-0.020309226858967307,0.0717276176055048,0.4983193935173644,0.5286621334926103,-0.04193056568088988,0.42676027787750187
appraisal_clear_objectives,-0.2625503081057771,0.10242388312697363,0.07819972721799309,-0.28844619581504577,-0.200246652483888,-0.19370714944947773,0.10522791177410554,0.2790014168130371,-0.009840631980712762,-0.06765359773702097,0.5262085906535618,-0.3908855171371145,-0.40125655868258603,0.333147811857311,0.540797207901144,0.34059960241514015,0.4832332209933127,0.38298901509363487,0.45840645004695896,0.45587158122243115,0.5153755270106641,0.5217406996843503,-0.020309226858967307,1.0,0.8430690822006109,0.5774496376372772,0.4439708728149638,0.2764343027845576,0.5465939347730544
appraisal_felt_valued,-0.24391548379248595,-0.030926140301854654,-0.04653939831727622,-0.3077413646109777,-0.4193948239650011,-0.31653339164901984,0.16495614797567001,0.5535464940944714,-0.12588510165024883,-0.3240844875482321,0.7167753550821505,-0.3497307355900636,-0.4743522004193075,0.41621071831688455,0.6690652368291443,0.4556151474204474,0.6353240849664059,0.4935070248352918,0.5520111176520948,0.5729952611161472,0.698485503272138,0.7150494472247757,0.0717276176055048,0.8430690822006109,1.0,0.7469987794640117,0.6110568260634675,0.38280010880702964,0.7096675668148147
supported_develop_potential,-0.021812587183473897,-0.11861817328477357,-0.08961641353659854,-0.09821736242887893,-0.6417159291557515,-0.35617214425877947,0.28281797534120406,0.7918263020313208,-0.040790091479227235,-0.43504845222212096,0.85950290497528,-0.06377532284519581,-0.34208564760591414,0.31737540255778934,0.6273054472879688,0.44141460681917094,0.5913466025341944,0.5138739991329794,0.55853295521211,0.5999291995435172,0.8415715075275201,0.6936024559958855,0.4983193935173644,0.5774496376372772,0.7469987794640117,1.0,0.9148067324468993,0.21698711637990345,0.8243412139701186
access_learning_dev,0.19224575068444472,0.06145235945544826,0.12506874326201786,0.13370489941241137,-0.559662279657639,-0.11513583126767085,0.13400811497115236,0.7522142042062281,0.17413945673639,-0.2626036368416383,0.7386417409998849,0.1192817985975779,-0.12190781338781415,0.013084648525982321,0.3612358495774613,0.13680330945445965,0.34347129557920986,0.21212974241665447,0.2544041145066719,0.3179860741887803,0.7909875177656355,0.4564233295879626,0.5286621334926103,0.4439708728149638,0.6110568260634675,0.9148067324468993,1.0,-0.05097634956102883,0.6757904776231166
nutritious_food,-0.7390827042964248,-0.5865877597112593,-0.6783685561544494,-0.7610320293518188,-0.3113203626373414,-0.6796514249141878,0.2707242434600433,0.2400497016838947,-0.7460161340432444,-0.6009017872743544,0.4151779985515603,-0.6304821503397859,-0.7009564632850683,0.8407308272912764,0.758495797096747,0.7877788071604254,0.7631239985957726,0.7485230151462511,0.724622630515574,0.698084563007809,0.11681826568131216,0.6246851582042064,-0.04193056568088988,0.2764343027845576,0.38280010880702964,0.21698711637990345,-0.05097634956102883,1.0,0.4796823557540067
org_positive_wellbeing,-0.3352091014268556,-0.30124411775470644,-0.3310330206073857,-0.3890862302683694,-0.6505213627045047,-0.5932911747968236,0.2672931048628387,0.7232236278685005,-0.33652090085786945,-0.5892102717682409,0.8929980052371069,-0.3132291319064062,-0.5541753351957763,0.5897185811622103,0.8365965619762249,0.6488062765135445,0.8003174473123449,0.6774175732806743,0.7062933894789788,0.7473921960866357,0.7215468562899164,0.7669922573746154,0.42676027787750187,0.5465939347730544,0.7096675668148147,0.8243412139701186,0.6757904776231166,0.4796823557540067,1.0
