Indicator,Trust,Trust Type,White Rate,BME Rate,Likelihood Ratio (BME/White)
Q15: Fair career progression,R0A,Acute&Acute Community Trusts,0.5839690310827735,0.4837024135357054,0.8283014813967832
Q15: Fair career progression,R0B,Acute&Acute Community Trusts,0.6503422854133755,0.5405092592592593,0.8311150472334683
Q15: Fair career progression,R0D,Acute&Acute Community Trusts,0.6160375251284342,0.4838112858464385,0.7853600894613869
Q15: Fair career progression,R1F1,Acute&Acute Community Trusts,0.5418454935622318,0.6222222222222222,1.1483388338833884
Q15: Fair career progression,R1H,Acute&Acute Community Trusts,0.5654435925520263,0.447653429602888,0.791685387365495
Q15: Fair career progression,R1K,Acute&Acute Community Trusts,0.5152733118971061,0.512973533990659,0.9955367804748515
Q15: Fair career progression,RA2,Acute&Acute Community Trusts,0.6547997457088366,0.6009732360097324,0.9177969905274845
Q15: Fair career progression,RA7,Acute&Acute Community Trusts,0.5996583143507973,0.5184776613348042,0.8646218170027694
Q15: Fair career progression,RA9,Acute&Acute Community Trusts,0.5380875202593193,0.4944649446494465,0.9189303338816521
Q15: Fair career progression,RAE,Acute&Acute Community Trusts,0.6147396293027361,0.5049342105263158,0.8213789813730307
Q15: Fair career progression,RAJ,Acute&Acute Community Trusts,0.4866071428571428,0.43536503683858,0.8946951215765315
Q15: Fair career progression,RAL,Acute&Acute Community Trusts,0.5458271236959762,0.4931865828092243,0.9035582172422921
Q15: Fair career progression,RAP,Acute&Acute Community Trusts,0.5352798053527981,0.5050215208034433,0.9434720229555236
Q15: Fair career progression,RAS,Acute&Acute Community Trusts,0.5359394703656999,0.4703018500486854,0.8775279225614294
Q15: Fair career progression,RAX,Acute&Acute Community Trusts,0.5878962536023055,0.5381391450125733,0.9153641339184458
Q15: Fair career progression,RBD,Acute&Acute Community Trusts,0.6020482809070958,0.5572755417956656,0.9256326435415247
Q15: Fair career progression,RBK,Acute&Acute Community Trusts,0.6145833333333334,0.4814814814814814,0.7834274952919019
Q15: Fair career progression,RBL,Acute&Acute Community Trusts,0.5785526809148857,0.4945652173913043,0.8548317788610554
Q15: Fair career progression,RBN,Acute&Acute Community Trusts,0.5941943127962085,0.4947807933194154,0.8326919034129344
Q15: Fair career progression,RBS,Acute&Acute Community Trusts,0.6539130434782608,0.5384615384615384,0.8234451718494271
Q15: Fair career progression,RBT,Acute&Acute Community Trusts,0.6493072145246058,0.4507042253521127,0.6941309372052773
Q15: Fair career progression,RC9,Acute&Acute Community Trusts,0.5884315906562848,0.496096522356281,0.8430827478228669
Q15: Fair career progression,RCB,Acute&Acute Community Trusts,0.536714833382483,0.4055727554179567,0.7556578096825776
Q15: Fair career progression,RCD,Acute&Acute Community Trusts,0.6027592768791628,0.5083612040133779,0.8433900953718392
Q15: Fair career progression,RCF,Acute&Acute Community Trusts,0.6281124497991968,0.5521235521235521,0.8790202332401821
Q15: Fair career progression,RCU,Acute&Acute Community Trusts,0.625560538116592,0.5192307692307693,0.8300248138957816
Q15: Fair career progression,RCX,Acute&Acute Community Trusts,0.5335138794854435,0.4320987654320987,0.8099110108416367
Q15: Fair career progression,RD1,Acute&Acute Community Trusts,0.5767634854771784,0.5164835164835165,0.8954858091548741
Q15: Fair career progression,RD8,Acute&Acute Community Trusts,0.5934426229508196,0.444311377245509,0.7487014920435373
Q15: Fair career progression,RDE,Acute&Acute Community Trusts,0.5846820150444495,0.5362549800796813,0.9171737222649364
Q15: Fair career progression,RDU,Acute&Acute Community Trusts,0.608983286908078,0.5349922239502333,0.8785006673442366
Q15: Fair career progression,REF,Acute&Acute Community Trusts,0.5477941176470589,0.4581151832460733,0.8362908043149794
Q15: Fair career progression,REM,Acute&Acute Community Trusts,0.5052135054617676,0.4587852494577006,0.9081017124401073
Q15: Fair career progression,RF4,Acute&Acute Community Trusts,0.4782372143634385,0.4629360465116279,0.9680050665396724
Q15: Fair career progression,RFF,Acute&Acute Community Trusts,0.6878914405010439,0.5629370629370629,0.8183516028736059
Q15: Fair career progression,RFR,Acute&Acute Community Trusts,0.6326930615444923,0.5152224824355972,0.8143324366128925
Q15: Fair career progression,RFS,Acute&Acute Community Trusts,0.6519337016574586,0.522673031026253,0.8017272764046761
Q15: Fair career progression,RGN,Acute&Acute Community Trusts,0.5488126649076517,0.4495495495495495,0.8191311503811504
Q15: Fair career progression,RGP,Acute&Acute Community Trusts,0.5387994143484627,0.4779874213836478,0.8871342630571507
Q15: Fair career progression,RGR,Acute&Acute Community Trusts,0.5372549019607843,0.4581939799331103,0.8528428093645484
Q15: Fair career progression,RGT,Acute&Acute Community Trusts,0.6223648029330889,0.5529175050301811,0.8884138409247828
Q15: Fair career progression,RH5,Acute&Acute Community Trusts,0.6223632630203472,0.5409015025041736,0.8691089828778819
Q15: Fair career progression,RH8,Acute&Acute Community Trusts,0.6052195526097763,0.531062124248497,0.8774702039259902
Q15: Fair career progression,RHM,Acute&Acute Community Trusts,0.6337106918238994,0.5448057097541633,0.859707303006272
Q15: Fair career progression,RHQ,Acute&Acute Community Trusts,0.5934352411423155,0.472087912087912,0.7955171505810481
Q15: Fair career progression,RHU,Acute&Acute Community Trusts,0.5780682643427741,0.4921212121212121,0.8513202375513933
Q15: Fair career progression,RHW,Acute&Acute Community Trusts,0.6389024987751103,0.5390920554854981,0.8437782862315196
Q15: Fair career progression,RJ1,Acute&Acute Community Trusts,0.5946119307248237,0.4681082762912258,0.787250056891069
Q15: Fair career progression,RJ2,Acute&Acute Community Trusts,0.5858138062064597,0.4855619724566859,0.8288674102801158
Q15: Fair career progression,RJ6,Acute&Acute Community Trusts,0.5555555555555556,0.4660194174757281,0.8388349514563106
Q15: Fair career progression,RJ7,Acute&Acute Community Trusts,0.5507745266781411,0.4515852613538988,0.8199094901456726
Q15: Fair career progression,RJC,Acute&Acute Community Trusts,0.6642522368981679,0.5240963855421686,0.7890020634172352
Q15: Fair career progression,RJE,Acute&Acute Community Trusts,0.5924743443557583,0.4828473413379073,0.8149675103028189
Q15: Fair career progression,RJL,Acute&Acute Community Trusts,0.541039156626506,0.4625984251968504,0.8550183836623763
Q15: Fair career progression,RJN,Acute&Acute Community Trusts,0.5917721518987342,0.5286624203821656,0.8933546782928573
Q15: Fair career progression,RJR,Acute&Acute Community Trusts,0.5345672291780076,0.3768115942028985,0.7048909353877033
Q15: Fair career progression,RJZ,Acute&Acute Community Trusts,0.5178812415654521,0.4403973509933774,0.8503828979442153
Q15: Fair career progression,RK5,Acute&Acute Community Trusts,0.6536406145624583,0.5964432284541724,0.9124941369401084
Q15: Fair career progression,RK9,Acute&Acute Community Trusts,0.5894360806328145,0.4961948249619482,0.8418127787990801
Q15: Fair career progression,RKB,Acute&Acute Community Trusts,0.5958169934640523,0.4696472518457752,0.788240780302804
Q15: Fair career progression,RKE,Acute&Acute Community Trusts,0.5897196261682243,0.4689312344656172,0.7951765782538992
Q15: Fair career progression,RL4,Acute&Acute Community Trusts,0.6107675518370317,0.4777070063694267,0.7821420848776378
Q15: Fair career progression,RLQ,Acute&Acute Community Trusts,0.600174978127734,0.4506437768240343,0.7508539896645353
Q15: Fair career progression,RLT,Acute&Acute Community Trusts,0.5998336106489185,0.5163265306122449,0.8607829262079311
Q15: Fair career progression,RM1,Acute&Acute Community Trusts,0.5348015225666123,0.4428969359331476,0.828151972731122
Q15: Fair career progression,RM3,Acute&Acute Community Trusts,0.5853341218214074,0.4615384615384615,0.78850428213936
Q15: Fair career progression,RMC,Acute&Acute Community Trusts,0.5853448275862069,0.4970414201183432,0.8491429268590251
Q15: Fair career progression,RMP,Acute&Acute Community Trusts,0.5674418604651162,0.5215189873417722,0.9190703465449264
Q15: Fair career progression,RN3,Acute&Acute Community Trusts,0.6023926812104152,0.4465116279069767,0.7412301673549228
Q15: Fair career progression,RN5,Acute&Acute Community Trusts,0.5851559698816781,0.5108038029386344,0.8729361558798108
Q15: Fair career progression,RN7,Acute&Acute Community Trusts,0.5684051398337112,0.4619225967540574,0.8126643557255558
Q15: Fair career progression,RNA,Acute&Acute Community Trusts,0.62152133580705,0.5184135977337111,0.8341042662043889
Q15: Fair career progression,RNN,Acute&Acute Community Trusts,0.5594319234331584,0.5114678899082569,0.9142629665633797
Q15: Fair career progression,RNQ,Acute&Acute Community Trusts,0.4964747356051704,0.4407643312101911,0.88778803753816
Q15: Fair career progression,RNS,Acute&Acute Community Trusts,0.5502202643171806,0.4888535031847134,0.8884687367728578
Q15: Fair career progression,RNZ,Acute&Acute Community Trusts,0.6015789473684211,0.561046511627907,0.9326232476754358
Q15: Fair career progression,RP5,Acute&Acute Community Trusts,0.6302150816273646,0.4660033167495854,0.7394353615693462
Q15: Fair career progression,RPA,Acute&Acute Community Trusts,0.5529646902065289,0.4456521739130434,0.8059324253535882
Q15: Fair career progression,RQ3,Acute&Acute Community Trusts,0.6259168704156479,0.4360341151385927,0.6966326292643923
Q15: Fair career progression,RQM,Acute&Acute Community Trusts,0.6367713004484304,0.5138071525577185,0.8068943311293748
Q15: Fair career progression,RQW,Acute&Acute Community Trusts,0.5231519090170593,0.4946091644204852,0.9454408096298405
Q15: Fair career progression,RQX,Acute&Acute Community Trusts,0.5233949945593036,0.4187558031569173,0.8000760563434657
Q15: Fair career progression,RR7,Acute&Acute Community Trusts,0.6597888675623801,0.5465116279069767,0.8283128964059195
Q15: Fair career progression,RR8,Acute&Acute Community Trusts,0.6374008626687074,0.5095162569389373,0.7993654963152461
Q15: Fair career progression,RRF,Acute&Acute Community Trusts,0.5523548239597622,0.4685314685314685,0.8482436437734451
Q15: Fair career progression,RRK,Acute&Acute Community Trusts,0.5475073823171791,0.4378230465186987,0.7996660148503009
Q15: Fair career progression,RRV,Acute&Acute Community Trusts,0.638347260909935,0.5206801470588235,0.8156691176470587
Q15: Fair career progression,RTD,Acute&Acute Community Trusts,0.5783708192518354,0.4723650385604113,0.8167165818833144
Q15: Fair career progression,RTE,Acute&Acute Community Trusts,0.5361817732773524,0.4852624011502516,0.9050333773640575
Q15: Fair career progression,RTF,Acute&Acute Community Trusts,0.6838105337575114,0.6288461538461538,0.9196204545002684
Q15: Fair career progression,RTG,Acute&Acute Community Trusts,0.6085659118834474,0.5010940919037199,0.8234015118475605
Q15: Fair career progression,RTH,Acute&Acute Community Trusts,0.5632183908045977,0.5149253731343284,0.9142552543405423
Q15: Fair career progression,RTK,Acute&Acute Community Trusts,0.5835597826086957,0.5608820709491851,0.9611390086579749
Q15: Fair career progression,RTP,Acute&Acute Community Trusts,0.5208978328173375,0.5157894736842106,0.9901931649331353
Q15: Fair career progression,RTR,Acute&Acute Community Trusts,0.578420467185762,0.4963768115942029,0.8581591415830545
Q15: Fair career progression,RTX,Acute&Acute Community Trusts,0.5569374271278663,0.5391923990498813,0.9681382015040785
Q15: Fair career progression,RVJ,Acute&Acute Community Trusts,0.5799734160389898,0.5135583840619812,0.8854860754987712
Q15: Fair career progression,RVR,Acute&Acute Community Trusts,0.5493358633776091,0.510141364474493,0.9286511194406142
Q15: Fair career progression,RVV,Acute&Acute Community Trusts,0.5264623955431755,0.4726867335562987,0.897854694956144
Q15: Fair career progression,RVW,Acute&Acute Community Trusts,0.5842751842751843,0.4763779527559055,0.8153314834804606
Q15: Fair career progression,RWA,Acute&Acute Community Trusts,0.5692433761267414,0.5136986301369864,0.9024235532300897
Q15: Fair career progression,RWD,Acute&Acute Community Trusts,0.5708274894810659,0.5277337559429477,0.9245065552514048
Q15: Fair career progression,RWE,Acute&Acute Community Trusts,0.6246120422098076,0.5127068053897322,0.8208404109146421
Q15: Fair career progression,RWF,Acute&Acute Community Trusts,0.5793450881612091,0.4969325153374233,0.8577487329954653
Q15: Fair career progression,RWG,Acute&Acute Community Trusts,0.5782983970406905,0.5305216426193119,0.9173839065336076
Q15: Fair career progression,RWH,Acute&Acute Community Trusts,0.5901808785529715,0.5049580472921434,0.8555987929161976
Q15: Fair career progression,RWJ,Acute&Acute Community Trusts,0.593481213218651,0.4835589941972921,0.8147839955620276
Q15: Fair career progression,RWP,Acute&Acute Community Trusts,0.6173062997827661,0.4969325153374233,0.8050015292445531
Q15: Fair career progression,RWW,Acute&Acute Community Trusts,0.6340710241893979,0.5254237288135594,0.8286512216596963
Q15: Fair career progression,RWY,Acute&Acute Community Trusts,0.6282188841201717,0.4973118279569892,0.7916219020596309
Q15: Fair career progression,RX1,Acute&Acute Community Trusts,0.5571221981200289,0.4753623188405797,0.8532460570493469
Q15: Fair career progression,RXC,Acute&Acute Community Trusts,0.5536955148452306,0.4469273743016759,0.8071717438899634
Q15: Fair career progression,RXF,Acute&Acute Community Trusts,0.59375,0.5283018867924528,0.8897715988083416
Q15: Fair career progression,RXK,Acute&Acute Community Trusts,0.6089171974522293,0.4642857142857143,0.76247758517633
Q15: Fair career progression,RXL,Acute&Acute Community Trusts,0.6139835487661575,0.4929577464788732,0.8028842913942987
Q15: Fair career progression,RXN,Acute&Acute Community Trusts,0.5946640951462552,0.5080147965474723,0.8542886659779386
Q15: Fair career progression,RXP,Acute&Acute Community Trusts,0.6195933456561923,0.5472972972972973,0.883316938657034
Q15: Fair career progression,RXQ,Acute&Acute Community Trusts,0.5943931866572036,0.5310344827586206,0.8934060730828616
Q15: Fair career progression,RXR,Acute&Acute Community Trusts,0.6490428441203282,0.5144508670520231,0.7926300578034682
Q15: Fair career progression,RXW,Acute&Acute Community Trusts,0.5728549141965679,0.5059445178335535,0.8831983549327554
Q15: Fair career progression,RYJ,Acute&Acute Community Trusts,0.6047318611987381,0.5222692633361558,0.8636377489700646
Q15: Fair career progression,RYR,Acute&Acute Community Trusts,0.5368456152050683,0.5139484978540773,0.9573487857542718
