Standard,N Items,N Orgs,Cronbach Alpha,Mean Inter-Item r,Verdict
Reducing Violence,6,263,0.7408421044200308,0.5742607838902636,Acceptable
Tackling Racism,4,263,0.7816356505557203,0.5624691574099041,Acceptable
Sexual Safety,2,263,0.6508279177206477,0.7716787518797079,Questionable
Flexible Working,3,263,0.9595248211817206,0.9149793117577149,Good
Line Management,3,263,0.9910683921649291,0.979985513162223,Good
Team Management,2,263,0.8192738996654236,0.6948828062826304,Good
Appraisal,3,263,0.4347496434611896,0.29816249098238284,Unacceptable
Development,2,263,0.9503598470747918,0.9148067324468993,Good
Supportive Env - Facilities,1,263,,,Single item — no reliability
Supportive Env - Wellbeing,1,263,,,Single item — no reliability
